,Unnamed: 0,id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,post_only,limit_only,cancel_only,trading_disabled,status,status_message
2,2,AAVE-USD,AAVE,USD,0.01,1200.0,0.001,0.001,AAVE/USD,1.0,500000.0,False,False,False,False,False,online,
4,4,LTC-USD,LTC,USD,0.1,4000.0,0.01,1e-08,LTC/USD,10.0,250000.0,False,False,False,False,False,online,
26,26,BTC-USDC,BTC,USDC,0.001,280.0,0.01,1e-08,BTC/USDC,10.0,1000000.0,False,False,False,False,False,online,
36,36,GRT-USD,GRT,USD,10.0,2500000.0,0.0001,0.01,GRT/USD,10.0,2500000.0,False,False,False,False,False,online,
59,59,ETH-USDC,ETH,USDC,0.01,2800.0,0.01,1e-08,ETH/USDC,10.0,1000000.0,False,False,False,False,False,online,
63,63,ZEC-USDC,ZEC,USDC,0.01,5000.0,0.01,1e-08,ZEC/USDC,10.0,250000.0,False,False,False,False,False,online,
64,64,ETH-EUR,ETH,EUR,0.01,1600.0,0.01,1e-08,ETH/EUR,10.0,400000.0,False,False,False,False,False,online,
65,65,LTC-EUR,LTC,EUR,0.1,1000.0,0.01,1e-08,LTC/EUR,10.0,250000.0,False,False,False,False,False,online,
70,70,LTC-GBP,LTC,GBP,0.1,1000.0,0.01,1e-08,LTC/GBP,10.0,250000.0,False,False,False,False,False,online,
81,81,BTC-USD,BTC,USD,0.001,280.0,0.01,1e-08,BTC/USD,5.0,1000000.0,False,False,False,False,False,online,
95,95,BCH-USD,BCH,USD,0.01,700.0,0.01,1e-08,BCH/USD,10.0,500000.0,False,False,False,False,False,online,
97,97,ETH-GBP,ETH,GBP,0.01,1400.0,0.01,1e-08,ETH/GBP,10.0,1000000.0,False,False,False,False,False,online,
98,98,BCH-EUR,BCH,EUR,0.01,100.0,0.01,1e-08,BCH/EUR,10.0,300000.0,False,False,False,False,False,online,
101,101,ETH-USD,ETH,USD,0.01,2800.0,0.01,1e-08,ETH/USD,5.0,1000000.0,False,False,False,False,False,online,
103,103,BTC-EUR,BTC,EUR,0.001,200.0,0.01,1e-08,BTC/EUR,10.0,600000.0,False,False,False,False,False,online,
111,111,BCH-GBP,BCH,GBP,0.01,250.0,0.01,1e-08,BCH/GBP,10.0,500000.0,False,False,False,False,False,online,
